drain TotalCurrent(IdVg_n3_SATURATION_des) X,drain TotalCurrent(IdVg_n3_SATURATION_des) Y
-0.475,7.8327756e-23
-0.45,1.375344e-22
-0.425,2.1910698e-22
-0.4,3.4556565e-22
-0.375,8.1052522e-22
-0.35,2.0226454e-21
-0.325,-3.3091981e-21
-0.3,-1.1160753e-21
-0.275,3.5381437e-20
-0.25,9.1962722e-20
-0.225,1.5106314e-19
-0.2,5.2169238e-19
-0.175,1.451027e-18
-0.15,3.9160605e-18
-0.125,1.0384874e-17
-0.1,2.7258226e-17
-0.075,7.1107534e-17
-0.05,1.8139366e-16
-0.025,4.6941324e-16
1.110223e-16,1.2216043e-15
0.025,3.1786578e-15
0.05,8.2426077e-15
0.075,2.1320735e-14
0.1,5.5052801e-14
0.125,1.4196559e-13
0.15,3.6568615e-13
0.175,9.4099349e-13
0.2,2.4188833e-12
0.225,6.2107614e-12
0.25,1.5926622e-11
0.275,4.0781419e-11
0.3,1.0423899e-10
0.325,2.658795e-10
0.35,6.764164e-10
0.375,1.7152486e-09
0.4,4.3309042e-09
0.425,1.0869405e-08
0.45,2.7035075e-08
0.475,6.5995707e-08
0.5,1.5390415e-07
0.525,3.2313514e-07
0.55,5.7340363e-07
0.575,8.4829281e-07
0.6,1.0925826e-06
0.625,1.2890708e-06
0.65,1.4431205e-06
0.675,1.5641561e-06
0.7,1.6605842e-06
0.725,1.739484e-06
0.75,1.8054606e-06
0.775,1.8615582e-06
0.8,1.909994e-06
0.825,1.952383e-06
0.85,1.9898826e-06
0.875,2.0233814e-06
0.9,2.0535383e-06
0.925,2.0808912e-06
0.95,2.1058614e-06
0.975,2.1287882e-06
1,2.1499409e-06
1.025,2.1695541e-06
1.05,2.1878272e-06
1.075,2.2049216e-06
1.1,2.2211342e-06
1.125,2.2364337e-06
1.15,2.2509014e-06
1.175,2.2646208e-06
1.2,2.277674e-06
1.225,2.2901138e-06
1.25,2.3020013e-06
1.275,2.3133785e-06
1.3,2.3242815e-06
1.325,2.3347506e-06
1.35,2.3448213e-06
1.375,2.3545195e-06
1.4,2.3638732e-06
1.425,2.3729057e-06
1.45,2.3816398e-06
1.475,2.3900936e-06
1.5,2.398282e-06
1.525,2.4062191e-06
1.55,2.4139185e-06
1.575,2.4214011e-06
1.6,2.4286791e-06
1.625,2.4357586e-06
1.65,2.4426501e-06
1.675,2.4493682e-06
1.7,2.4559216e-06
1.725,2.4623184e-06
1.75,2.4685606e-06
1.775,2.4746607e-06
1.8,2.4806254e-06
1.825,2.4864605e-06
1.85,2.4921696e-06
1.875,2.4977579e-06
1.9,2.5032334e-06
1.925,2.5086005e-06
1.95,2.5138636e-06
1.975,2.5190268e-06
2,2.524094e-06

