drain TotalCurrent(IdVg_n2_SATURATION_des) X,drain TotalCurrent(IdVg_n2_SATURATION_des) Y
-0.4875,6.3643739e-19
-0.46916667,6.2532711e-19
-0.44655556,6.2529027e-19
-0.42155556,6.1568351e-19
-0.39655556,6.1599986e-19
-0.37155556,6.0676653e-19
-0.34655556,6.1198487e-19
-0.32155556,6.1308236e-19
-0.29655556,6.2043128e-19
-0.27155556,6.5159196e-19
-0.24655556,7.3608684e-19
-0.22155556,9.6760835e-19
-0.19655556,1.6023347e-18
-0.17155556,3.3003211e-18
-0.14655556,7.7116008e-18
-0.12155556,1.9433736e-17
-0.096555556,4.9660431e-17
-0.071555556,1.2800894e-16
-0.046555556,3.3074432e-16
-0.021555556,8.6002214e-16
0.0034444444,2.2404771e-15
0.028444444,5.8352117e-15
0.053444444,1.5139708e-14
0.078444444,3.9240348e-14
0.10344444,1.0192992e-13
0.12844444,2.6432559e-13
0.15344444,6.8507894e-13
0.17844444,1.7747046e-12
0.20344444,4.5948242e-12
0.22844444,1.1888718e-11
0.25344444,3.0738341e-11
0.27844444,7.9405065e-11
0.30344444,2.0490964e-10
0.32844444,5.2810013e-10
0.35344444,1.3587821e-09
0.37844444,3.4882313e-09
0.40344444,8.9253871e-09
0.42844444,2.2715315e-08
0.45344444,5.7237026e-08
0.47844444,1.4108029e-07
0.50344444,3.3123991e-07
0.52844444,7.0887172e-07
0.55344444,1.3286421e-06
0.57844444,2.1458787e-06
0.60344444,2.9542088e-06
0.62844444,3.4947205e-06
0.65344444,3.9254645e-06
0.67844444,4.3939815e-06
0.70344444,4.9068617e-06
0.72844444,5.4513093e-06
0.75344444,6.0195346e-06
0.77844444,6.6078772e-06
0.80344444,7.2144354e-06
0.82844444,7.8378746e-06
0.85344444,8.4770178e-06
0.87844444,9.1306987e-06
0.90344444,9.7977277e-06
0.92844444,1.0476882e-05
0.95344444,1.1166954e-05
0.97844444,1.1866753e-05
1.0034444,1.2575094e-05
1.0284444,1.3290835e-05
1.0534444,1.4012852e-05
1.0784444,1.4740063e-05
1.1034444,1.5471444e-05
1.1284444,1.6205972e-05
1.1534444,1.6942672e-05
1.1784444,1.7680633e-05
1.2034444,1.8418909e-05
1.2284444,1.9156608e-05
1.2534444,1.989297e-05
1.2784444,2.0627235e-05
1.3034444,2.1358647e-05
1.3284444,2.2086546e-05
1.3534444,2.2810325e-05
1.3784444,2.3529435e-05
1.4034444,2.4243376e-05
1.4284444,2.495171e-05
1.4534444,2.5654059e-05
1.4784444,2.635009e-05
1.5034444,2.7039582e-05
1.5284444,2.7722291e-05
1.5534444,2.8398044e-05
1.5784444,2.9066647e-05
1.6034444,2.9727843e-05
1.6284444,3.0381353e-05
1.6534444,3.1026804e-05
1.6784444,3.1664025e-05
1.7034444,3.229259e-05
1.7284444,3.2911936e-05
1.7534444,3.3521065e-05
1.7784444,3.4119072e-05
1.8034444,3.4705417e-05
1.8284444,3.5279823e-05
1.8534444,3.5842215e-05
1.8784444,3.6391953e-05
1.9034444,3.6927824e-05
1.9284444,3.7453919e-05
1.9534444,3.7964495e-05
1.9784444,3.8459269e-05
2,3.8873612e-05

