drain TotalCurrent(IdVd_n3_SATURATION_des) X,drain TotalCurrent(IdVd_n3_SATURATION_des) Y
0.014,3.5537709e-06
0.028,6.6317027e-06
0.042,9.1694692e-06
0.056,1.1131024e-05
0.07,1.2510803e-05
0.084,1.3419473e-05
0.098,1.4079661e-05
0.112,1.4650224e-05
0.126,1.5197723e-05
0.14,1.5746576e-05
0.154,1.6304869e-05
0.168,1.6874056e-05
0.182,1.7452091e-05
0.196,1.8035105e-05
0.21,1.8619055e-05
0.224,1.9201337e-05
0.238,1.9781145e-05
0.252,2.0359266e-05
0.266,2.093682e-05
0.28,2.1516628e-05
0.294,2.2100206e-05
0.308,2.2689727e-05
0.322,2.3286256e-05
0.336,2.3889523e-05
0.35,2.4497091e-05
0.364,2.5104129e-05
0.378,2.5707483e-05
0.392,2.6305228e-05
0.406,2.6895662e-05
0.42,2.747775e-05
0.434,2.8049991e-05
0.448,2.8609894e-05
0.462,2.9158721e-05
0.476,2.9695902e-05
0.49,3.0214814e-05
0.504,3.071623e-05
0.518,3.1201435e-05
0.532,3.1670536e-05
0.546,3.2120457e-05
0.56,3.2553436e-05
0.574,3.2970831e-05
0.588,3.3373635e-05
0.602,3.3762987e-05
0.616,3.4140361e-05
0.63,3.4506896e-05
0.644,3.4863512e-05
0.658,3.5210992e-05
0.672,3.5549931e-05
0.686,3.5880663e-05
0.7,3.620351e-05
0.714,3.651855e-05
0.728,3.6825914e-05
0.742,3.7125543e-05
0.756,3.7417465e-05
0.77,3.7701428e-05
0.784,3.7977686e-05
0.798,3.8244983e-05
0.812,3.8503974e-05
0.826,3.8755234e-05
0.84,3.8998622e-05
0.854,3.9234156e-05
0.868,3.9461614e-05
0.882,3.968142e-05
0.896,3.9893706e-05
0.91,4.0098618e-05
0.924,4.0296378e-05
0.938,4.0487121e-05
0.952,4.0670287e-05
0.966,4.0846632e-05
0.98,4.1016346e-05
0.994,4.1179666e-05
1.008,4.1336574e-05
1.022,4.148733e-05
1.036,4.1632026e-05
1.05,4.1770765e-05
1.064,4.1903714e-05
1.078,4.2031016e-05
1.092,4.215279e-05
1.106,4.2269205e-05
1.12,4.238038e-05
1.134,4.2486467e-05
1.148,4.2587588e-05
1.162,4.2683863e-05
1.176,4.2775418e-05
1.19,4.2862383e-05
1.204,4.2944897e-05
1.218,4.3023107e-05
1.232,4.3097166e-05
1.246,4.316723e-05
1.26,4.3233464e-05
1.274,4.329604e-05
1.288,4.3355148e-05
1.302,4.3410977e-05
1.316,4.3463729e-05
1.33,4.3513608e-05
1.344,4.3560823e-05
1.358,4.3605599e-05
1.372,4.3648157e-05
1.386,4.368871e-05
1.4,4.3727462e-05

